gen;sp
0;1
1;1
2;1
3;1
4;1
5;1
6;1
7;1
8;1
9;1
10;1
11;1
12;1
13;1
14;1
15;1
16;1
17;1
18;1
19;1
20;1
21;1
22;1
23;1
24;1
25;1
26;1
27;1
28;1
29;1
30;1
31;1
32;1
33;1
34;1
35;1
36;1
37;1
38;1
39;1
40;1
41;1
42;1
43;1
44;1
45;1
46;1
47;1
48;1
49;1
50;1
51;1
52;1
53;1
54;1
55;1
56;1
57;1
58;1
59;1
60;1
61;1
62;1
63;1
64;1
65;1
66;1
67;1
68;1
69;1
70;1
71;1
72;1
73;1
74;1
75;1
76;1
77;1
78;1
79;1
80;1
81;1
82;1
83;1
84;1
85;1
86;1
87;1
88;1
89;1
90;1
91;1
92;1
93;1
94;1
95;1
96;1
97;1
98;1
99;1
100;1
101;1
102;1
103;1
104;1
105;1
106;1
107;1
108;1
109;1
110;1
111;1
112;1
113;1
114;1
115;1
116;1
117;1
118;1
119;1
120;1
121;1
122;1
123;1
124;1
125;1
126;1
127;1
128;1
129;1
130;1
131;1
132;1
133;1
134;1
135;1
136;1
137;1
138;1
139;1
140;2
141;2
142;2
143;2
144;2
145;2
146;2
147;2
148;2
149;2
150;2
151;2
152;1
153;1
154;1
155;3
156;3
157;2
158;3
159;3
160;3
161;3
162;3
163;3
164;3
165;3
166;3
167;5
168;5
169;5
170;4
171;5
172;4
173;4
174;4
175;4
176;4
177;4
178;4
179;4
180;4
181;4
182;4
183;4
184;4
185;4
186;4
187;6
188;6
189;6
190;6
191;7
192;7
193;7
194;7
195;7
196;7
197;7
198;7
199;7
200;8
201;8
202;8
203;9
204;9
205;8
206;8
207;8
208;8
209;9
210;10
211;9
212;8
213;8
214;8
215;8
216;9
217;9
218;9
219;9
220;9
221;10
222;10
223;10
224;11
225;11
226;10
227;10
228;10
229;11
230;12
231;12
232;11
233;12
234;10
235;11
236;11
237;13
238;13
239;13
240;13
241;13
242;13
243;12
244;13
245;14
246;15
247;15
248;14
249;15
250;14
251;15
252;15
253;15
254;14
255;14
256;14
257;14
258;14
259;16
260;17
261;19
262;19
263;19
264;19
265;19
266;19
267;19
268;20
269;19
270;19
271;20
272;21
273;21
274;21
275;20
276;20
277;20
278;20
279;21
280;21
281;21
282;21
283;21
284;21
285;21
286;21
287;21
288;21
289;21
290;23
291;22
292;22
293;22
294;22
295;22
296;22
297;22
298;22
299;22
300;24
301;24
302;25
303;25
304;24
305;24
306;24
307;26
308;28
309;28
310;28
311;27
312;27
313;28
314;28
315;28
316;28
317;27
318;27
319;26
320;28
321;28
322;29
323;29
324;30
325;30
326;30
327;30
328;31
329;31
330;31
331;31
332;30
333;30
334;30
335;30
336;30
337;30
338;30
339;29
340;31
341;31
342;31
343;31
344;31
345;32
346;32
347;32
348;32
349;32
350;32
351;33
352;33
353;33
354;33
355;33
356;33
357;33
358;34
359;35
360;35
361;35
362;35
363;35
364;35
365;34
366;36
367;36
368;36
369;36
370;36
371;36
372;36
373;36
374;35
375;36
376;36
377;36
378;36
379;35
380;35
381;35
382;35
383;35
384;35
385;35
386;35
387;36
388;35
389;35
390;35
391;36
392;36
393;35
394;35
395;35
396;35
397;36
398;37
399;37
400;37
401;37
402;37
403;37
404;37
405;37
406;37
407;37
408;37
409;36
410;36
411;36
412;36
413;36
414;36
415;37
416;36
417;37
418;37
419;36
420;36
421;37
422;37
423;38
424;38
425;38
426;38
427;38
428;38
429;37
430;37
431;37
432;38
433;38
434;38
435;38
436;38
437;38
438;38
439;38
440;38
441;38
442;38
443;38
444;38
445;38
446;38
447;38
448;38
449;38
450;38
451;38
452;38
453;38
454;38
455;38
456;38
457;38
458;38
459;38
460;38
461;38
462;38
463;38
464;38
465;38
466;38
467;38
468;38
469;39
470;39
471;39
472;39
473;39
474;39
475;40
476;39
477;39
478;39
479;39
480;39
481;39
482;39
483;39
484;39
485;39
486;39
487;39
488;39
489;39
490;39
491;39
492;39
493;38
494;38
495;38
496;38
497;38
498;39
499;39
